Mitchell;98124;23;341;4;B;false;
Hunter;36798;37;567;2;E;true;
Peterson;76312;52;120;6;F;true;
Rodriguez;54068;19;897;7;C;false;
Barnes;21854;41;430;1;D;true;
Lee;49213;68;652;5;A;false;
Penelope;87456;26;205;8;D;true;
Leo;62509;57;986;6;D;false;
Hazel;14986;33;774;3;B;true;
Everett;73145;45;219;8;C;false;
Elsie;95764;29;963;3;A;true;
Grayson;40592;49;541;7;E;false;
Violet;24671;21;307;1;D;false;
Owen;58639;62;693;2;C;true;
Tessa;81905;36;856;5;A;false;
Jasper;37289;47;489;6;D;true;
Summer;67421;31;742;1;D;false;
Brady;91358;54;684;8;B;true;
Lila;54387;25;372;5;E;false;
Finnegan;12750;43;578;2;F;false;
Lily;78934;39;925;3;C;true;
Rhett;30845;59;397;4;B;false;
Felicity;54236;30;611;8;A;true;
Roman;78610;48;834;1;E;false;
Phoebe;36072;22;149;7;F;true;
Levi;98536;50;976;4;C;false;
Willow;63149;65;227;5;A;true;
Nolan;18543;28;752;6;D;false;
Delilah;95021;44;658;4;F;true;
Wyatt;40695;58;879;2;B;true;
Amalia;76831;35;512;7;E;false;
Kai;21457;60;166;6;F;true;
Calliope;89713;24;293;8;C;false;
Atticus;51234;42;764;3;B;true;
Luciana;76298;56;447;1;A;false;
Reid;34127;27;681;2;E;true;
Gia;62309;53;928;5;F;false;
Archer;48167;67;284;4;C;true;
Kiera;10986;40;856;3;A;false;
Sebastian;69874;63;137;6;D;true;
Maisie;35790;32;399;1;F;false;
Max;54632;46;502;7;B;true;
Annabelle;98761;51;755;2;E;false;
Xander;13750;38;612;4;F;false;
Ruby;70983;64;437;5;C;true;
Eamon;82165;20;925;8;B;false;
Aurora;23940;55;298;3;A;true;
